GDEKT;GDENR;GDENAME;Version;Link_Dok_RIS;Link_Dok_Present;downloadedPdfDocumentValid;MunicipalityExists;LinkValid;MetaDataDateEqual;MetaDataOriginal;MetaDataDownloadedFile;HashEqual;CrawledLink;CrawledLinkSameAsRISLink;;;
ZH;54;Dietlikon;;https://oerebdocs.zh.ch/getDoc?docid=4027;True;True;True;True;False;None;None;False;https://oerebdocs.zh.ch/getDoc?docid=4027;True;;;
ZH;55;Eglisau;;https://oerebdocs.zh.ch/getDoc?docid=9114;True;True;True;True;False;None;None;False;https://oerebdocs.zh.ch/getDoc?docid=9114;True;;;
ZH;56;Embrach;;https://oerebdocs.zh.ch/getDoc?docid=6884;True;True;True;True;False;None;None;False;https://oerebdocs.zh.ch/getDoc?docid=6884;True;;;
ZH;57;Freienstein-Teufen;;https://oerebdocs.zh.ch/getDoc?docid=7865;True;True;True;True;False;None;None;False;https://oerebdocs.zh.ch/getDoc?docid=7865;True;;;
ZH;58;Glattfelden;;https://oerebdocs.zh.ch/getDoc?docid=8932;True;True;True;True;False;None;None;False;https://oerebdocs.zh.ch/getDoc?docid=8932;True;;;
ZH;59;Hochfelden;;https://oerebdocs.zh.ch/getDoc?docid=7862;True;True;True;True;False;None;None;False;https://oerebdocs.zh.ch/getDoc?docid=7862;True;;;
ZH;60;Höri;;https://oerebdocs.zh.ch/getDoc?docid=8901;True;True;True;True;False;None;None;False;https://oerebdocs.zh.ch/getDoc?docid=8901;True;;;
ZH;61;Hüntwangen;;https://oerebdocs.zh.ch/getDoc?docid=11613;True;True;True;True;False;None;None;False;https://oerebdocs.zh.ch/getDoc?docid=11613;True;;;
ZH;62;Kloten;;https://oerebdocs.zh.ch/getDoc?docid=5484;True;True;True;True;False;None;None;False;https://oerebdocs.zh.ch/getDoc?docid=5484;True;;;
ZH;63;Lufingen;;https://oerebdocs.zh.ch/getDoc?docid=11616;True;True;True;True;False;None;None;False;https://oerebdocs.zh.ch/getDoc?docid=11616;True;;;
ZH;64;Nürensdorf;;https://oerebdocs.zh.ch/getDoc?docid=7863;True;True;True;True;False;None;None;False;https://oerebdocs.zh.ch/getDoc?docid=7863;True;;;
ZH;65;Oberembrach;;https://oerebdocs.zh.ch/getDoc?docid=6883;True;True;True;True;False;None;None;False;https://oerebdocs.zh.ch/getDoc?docid=6883;True;;;
ZH;66;Opfikon;;https://oerebdocs.zh.ch/getDoc?docid=4026;True;True;True;True;False;None;None;False;https://oerebdocs.zh.ch/getDoc?docid=4026;True;;;
ZH;67;Rafz;;https://oerebdocs.zh.ch/getDoc?docid=11606;True;True;True;True;False;None;None;False;https://oerebdocs.zh.ch/getDoc?docid=11606;True;;;
ZH;68;Rorbas;;https://oerebdocs.zh.ch/getDoc?docid=8226;True;True;True;True;False;None;None;False;https://oerebdocs.zh.ch/getDoc?docid=8226;True;;;
ZH;69;Wallisellen;;https://oerebdocs.zh.ch/getDoc?docid=757;True;True;True;True;False;None;None;False;https://oerebdocs.zh.ch/getDoc?docid=757;True;;;
ZH;70;Wasterkingen;;https://oerebdocs.zh.ch/getDoc?docid=11614;True;True;True;True;False;None;None;False;https://oerebdocs.zh.ch/getDoc?docid=11614;True;;;
ZH;71;Wil (ZH);;https://oerebdocs.zh.ch/getDoc?docid=11607;True;True;True;True;False;None;None;False;https://oerebdocs.zh.ch/getDoc?docid=11607;True;;;
ZH;72;Winkel;;https://oerebdocs.zh.ch/getDoc?docid=9111;True;True;True;True;False;None;None;False;https://oerebdocs.zh.ch/getDoc?docid=9111;True;;;
